месяц,Сумма_заказов,Кол_во_заказов,Кол_во_уникальных_клиентов,Средний_чек,Среднее_кол_во_товаров
201603,1257011052.62,85678,54301,12372.156029724409,1.0503740157480315
201604,1197676942.85,79132,47603,12545.849145751277,1.0495788988519232
