месяц,Сумма_заказов,Кол_во_заказов,Кол_во_уникальных_клиентов,Средний_чек,Среднее_кол_во_товаров
201603,675142693.16,54579,38595,10439.974225053735,1.0388748859577233
201604,652107968.76,51372,34370,10546.27737227694,1.0428250287063543
